Produtos,,,,,,,,,,,,,,,,
Código,Código de barras,Nome,Estoque,Custo,Venda Preço unit.,Data última compra,Percentual % markup da última precificação,UN,Qt mínima estoque,Preço última compra,GRUPO,Códigos de barras/EANS,Observação,Pesável,Tipo de produto,Qt Máxima Estoque
2017,126407,ARROZ CATETO INTEGRAL 1KG,0,"13,6","19,9",17/01/2024,"46,32",UN,0,,GERAL,126407,,Não,00 - Mercadoria para revenda,0
10502,126408,ARROZ CATETO INTEGRAL 500G HASI,2,"8,95","19,9",26/03/2026,"122,35",UN,0,,GRANEL,126408,,Não,00 - Mercadoria para revenda,0
33,,ARROZ CATETO INTEGRAL KG,0,"9,99","11,5",,0,KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
34,,ARROZ INTEGRAL,0,0,"0,01",,0,KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
2021,126486,ARROZ PRETO HASI 1KG,0,0,"0,01",,0,UN,0,,GERAL,126486,,Não,00 - Mercadoria para revenda,0
1051888,126487,ARROZ PRETO HASI 500G,0,17,"26,5",17/01/2025,"55,88",UN,0,,GRANEL,126487,,Não,00 - Mercadoria para revenda,0
40,,ARROZ PRETO KG,0,"27,01","45,7",23/12/2025,"69,2",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
3398,7908041905557,ARTROFAN +COLAG TIPO II +ASSOC 30CPS 500MG FLORA N,0,"20,21","44,9",02/04/2024,0,UN,0,,ENCAPSULADOS,7908041905557,,Não,00 - Mercadoria para revenda,0
3013,7898589726014,ARTROVIDA CONDROITINA 1500MG GLUCOSAMINA1200MG180C,1,47,"79,9",09/07/2025,70,UN,0,,ENCAPSULADOS,7898589726014,,Não,00 - Mercadoria para revenda,0
3022,7898593052703,ASCORVIT C ZINCO 30CAPS 1000MG VITAMINA C MAXINUTRI,0,"19,15","33,9",26/02/2026,"77,02",UN,0,,ENCAPSULADOS,7898593052703,WERBRAN 15.99,Não,00 - Mercadoria para revenda,0
3020,7898593052116,ASCORVIT C ZINCO 60CAPS 1000MG VITAMINA C MAXINUTRI,2,"27,0475","49,9",25/03/2026,"84,49",UN,0,,ENCAPSULADOS,7898593052116,,Não,00 - Mercadoria para revenda,0
1801,7908854802234,ASHWAGANDHA 120CPS 500MG BIONUTRI,0,"29,75","64,9",27/03/2026,"118,15",UN,0,,ENCAPSULADOS,7908854802234,,Não,00 - Mercadoria para revenda,0
1583,7908854802241,ASHWAGANDHA 150CPS 500MG BIONUTRI,0,"33,72","65,7",17/5/2025,"94,84",UN,0,,ENCAPSULADOS,7908854802241,,Não,00 - Mercadoria para revenda,0
1569,7898586840065,ASHWAGANDHA 60CPS 500MG KURYERVAS,2,"22,59","44,9",30/03/2026,"98,76",UN,0,,ENCAPSULADOS,7898586840065,,Não,00 - Mercadoria para revenda,0
42,,AVEIA FLOCOS GROSSA  KG,"1,704","6,2",12,8/4/2026,"93,55",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
41,,AVEIA FLOCOS MEDIA  KG,"8,117","6,2",12,10/04/2026,"93,55",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
529,,AVEIA SEM GLUTEN FLOCOS GROSSA KG,0,"15,98","25,9",3/7/2025,"62,08",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
